Time,ID,Category,Group,Event,Msg. Type,Priority,Ether Type,Src. MAC,Src. Vendor,Src. Int.,Src. Zone,Dst. MAC,Dst. Vendor,Dst. Int.,Dst. Zone,Src. IP,Src. Port,Src. Name,Src.NAT IP,Src.NAT Port,In SPI,Dst. IP,Dst. Port,Dst. Name,Dst.NAT IP,Dst.NAT Port,Out SPI,IP Protocol,ICMP Type,ICMP Code,RX Bytes,TX Bytes,Access Rule,NAT Policy,User Name,Session Time,Session Type,IDP Rule,IDP Priority,HTTP OP,URL,VPN Policy,HTTP Result,Block Cat,Application,FW Action,DPI,Notes,Message,HTTP Referer,IP,AbuseScore,Country,ISP,Domain,TotalReports,LastReportedAt
03/26/2025 14:28:37,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,176.113.115.16,51110.0,,,,,217.124.116.61,1080.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service RPC Services,drop,,TCP Flag(s): SYN,TCP packet dropped,,176.113.115.16,100,Russian Federation,Cat Technologies Co. Limited,cat-tec.com,6911,2025-04-14T17:23:23+00:00
03/26/2025 14:31:45,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,164.92.119.95,33655.0,,,,,217.124.116.61,9527.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,164.92.119.95,100,United States of America,"DigitalOcean, LLC",digitalocean.com,384,2025-04-28T05:26:42+00:00
03/26/2025 14:32:48,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,137.74.181.245,9606.0,,,,,217.124.116.61,8444.0,,,,,tcp,,,60.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,137.74.181.245,100,France,ONYPHE SAS,onyphe.io,2143,2025-05-05T15:50:58+00:00
03/26/2025 14:37:02,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,66.240.236.119,20012.0,,,,,217.124.116.61,9999.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,66.240.236.119,100,United States of America,"CariNet, Inc.",cari.net,5416,2025-05-05T13:52:23+00:00
03/26/2025 14:42:31,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,178.211.139.120,59546.0,,,,,217.124.116.61,83.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,178.211.139.120,100,Poland,MEVSPACE sp. z o.o.,mevspace.com,4419,2025-04-07T19:40:19+00:00
03/26/2025 14:52:12,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,103.102.230.4,56168.0,,,,,217.124.116.61,8728.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,103.102.230.4,100,Canada,Skoali,skoali.com,24045,2025-05-05T15:52:18+00:00
03/26/2025 14:58:00,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,104.248.235.219,6103.0,,,,,217.124.116.61,22.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service SSH,drop,,TCP Flag(s): SYN,TCP packet dropped,,104.248.235.219,100,United States of America,"DigitalOcean, LLC",digitalocean.com,3582,2025-05-05T14:25:35+00:00
03/26/2025 15:02:07,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,54.37.81.238,45097.0,,,,,217.124.116.61,5901.0,,,,,tcp,,,52.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,54.37.81.238,100,France,OVH SAS,ovh.net,17237,2025-05-05T15:57:10+00:00
03/26/2025 15:10:24,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,64.62.156.134,38449.0,,,,,217.124.116.61,102.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,64.62.156.134,100,United States of America,"The Shadowserver Foundation, Inc.",shadowserver.org,1071,2025-05-05T15:00:09+00:00
03/26/2025 15:10:59,1226,Network,Network Access,HTTPS Handshake,Standard Message String,Information,,,,X1,,,,X1,,141.98.11.116,62226.0,,,,,217.124.116.61,4443.0,,,,,tcp,,,,,,,,,,,,,,,,,,,,,HTTPS Handshake: wrong version number,,141.98.11.116,100,Lithuania,UAB Host Baltic,serveroffer.lt,1027,2025-05-05T12:06:56+00:00
